COS 104/6,2,Computing and Culture
COS 105,1,"Ethics, Computing, and Society"
COS 120,4,Introduction to Computational Problem Solving
COS 121,4,Foundations of Computer Science
COS 143,3,Interactive Web Page Design
COS 230,3,Missions Technology
COS 243,3,Multi-tier Web Application Development
COS 265,3,Data Structures and Algorithms
COS 280,3,Introduction to Artificial Intelligence
COS 284,3,Introduction to Computer Systems
COS 310,1,Current Literature Survey
COS 311,2,Ethics in Computer Science
COS 314,3,Human Computer Interaction
COS 320,3,Algorithm Design
COS 321,3,Ethics and Technology
COS 331,3,Data Communications
COS 340,3,Software Engineering
COS 342,3,Information Security
COS 343,3,Advanced Database Concepts
COS 350,3,Computer Graphics
COS 351,3,Computer Vision
COS 370,3,Missions Computing
COS 371,4,Software Studio I
COS 372,4,Software Studio II
COS 380,3,Natural Language Processing
COS 381,3,Computer Architecture
COS 382,3,Language Structures
COS 393,4,Practicum
COS 421,3,Operating Systems
COS 424,3,Surfaces and Modeling
COS 425,3,Animation
COS 435,3,Theory of Computation
COS 436,3,Distributed Processing
COS 452,3,Research I
COS 453,3,Research II
COS 471,4,Software Studio III
COS 472,4,Software Studio IV
COS 491,2,Senior Engineering Project I
COS 492,3,Senior Project
COS 493,1,Computer Science Senior Capstone
COS 494,3,Senior Engineering Project II
COS 495,1,Senior Engineering Project III
IAS 330,3,Human Relations in Organizations
SYS 101,3,Introduction to Systems
SYS 214,3,Principles of Human Computer Interaction
SYS 310,3,E-Commerce
SYS 320,3,Economic Decision Analysis
SYS 352,3,Knowledge Based Systems
SYS 390,3,Information Systems Analysis
SYS 392,1,Systems Seminar
SYS 393,4,Practicum
SYS 394,4,Information Systems Design
SYS 401,3,Operations Research
SYS 402,3,Modeling and Simulation
SYS 403,3,Operations Management
SYS 405,3,Operations Research II
SYS 410,2,Fundamentals of Quality Management
SYS 411,3,Machine Learning
MAT 215,3,Discrete Mathematics for Computer Science
