KA,KU,Tier,Level,Number,Learning Outcome,,,
AL,Basic Analysis,2,2,,,Most recent modification from Ironman,,
AL,Basic Analysis,1,Familiarity,1,"Explain what is meant by “best”, “expected”, and “worst” case behavior of an algorithm.",8/19/13,minor wording change.,
AL,Basic Analysis,1,Assessment,2,"In the context of specific algorithms, identify the characteristics of data and/or other conditions or assumptions that lead to different behaviors.",,,
AL,Basic Analysis,1,Usage,3,Determine informally the time and space complexity of simple algorithms.,,,
AL,Basic Analysis,1,Familiarity,4,State the formal definition of big O.,8/19/13,minor wording change.,
AL,Basic Analysis,1,Familiarity,5,List and contrast standard complexity classes.,,,
AL,Basic Analysis,1,Assessment,6,Perform empirical studies to validate hypotheses about runtime stemming from mathematical analysis  Run algorithms on input of various sizes and compare performance.,,,
AL,Basic Analysis,1,Familiarity,7,Give examples that illustrate time-space trade-offs of algorithms.,,,
AL,Basic Analysis,2,Usage,8,Use big O notation formally to give asymptotic upper bounds on time and space complexity of algorithms.,,,
AL,Basic Analysis,2,Usage,9,Use big O notation formally to give expected case bounds on time complexity of algorithms.,,,
AL,Basic Analysis,2,Familiarity,10,"Explain the use of big omega, big theta, and little o notation to describe the amount of work done by an algorithm.",,,
AL,Basic Analysis,2,Usage,11,Use recurrence relations to determine the time complexity of recursively defined algorithms.,,,
AL,Basic Analysis,2,Usage,12,"Solve elementary recurrence relations, eg, using some form of a Master Theorem.",,,
,,,,,,,,
AL,Algorithmic Strategies ,5,1,,,,,
AL,Algorithmic Strategies ,1,Familiarity,1,"For each of the strategies (brute-force, greedy, divide-and-conquer, recursive backtracking, and dynamic programming), identify a practical example to which it would apply.",8/19/13,minor wording change.,
AL,Algorithmic Strategies ,1,Assessment,2,Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution.,8/19/13,deleted outcome,
AL,Algorithmic Strategies ,1,Usage,3,Use a divide-and-conquer algorithm to solve an appropriate problem.,,,
AL,Algorithmic Strategies ,1,Usage,4,Use recursive backtracking to solve a problem such as navigating a maze.,,,
AL,Algorithmic Strategies ,1,Usage,5,Use dynamic programming to solve an appropriate problem.,,,
AL,Algorithmic Strategies ,1,Assessment,6,Determine an appropriate algorithmic approach to a problem.,8/19/13,New,
AL,Algorithmic Strategies ,2,Familiarity,7,Describe various heuristic problem-solving methods.,,,
AL,Algorithmic Strategies ,2,Usage,8,Use a heuristic approach to solve an appropriate problem.,,,
AL,Algorithmic Strategies ,2,Assessment,9,Describe the trade-offs between brute force and heuristic strategies.,,,
AL,Algorithmic Strategies ,2,Familiarity,10,Describe how a branch-and-bound approach may be used to improve the performance of a heuristic method.,8/19/13,new,
,,,,,,,,
AL,Fundamental Data Structures and Algorithms,9,3,,,,,
AL,Fundamental Data Structures and Algorithms,1,Usage,1,Implement basic numerical algorithms.,,,
AL,Fundamental Data Structures and Algorithms,1,Assessment,2,Implement simple search algorithms and explain the differences in their time complexities.,8/19/13,Changed level,
AL,Fundamental Data Structures and Algorithms,1,Usage,3,Be able to implement common quadratic and O(N log N) sorting algorithms.,,,
AL,Fundamental Data Structures and Algorithms,1,Familiarity,4,"Describe the implementation of hash tables, including collision avoidance and resolution.",8/19/13,minor wording change.,
AL,Fundamental Data Structures and Algorithms,1,Familiarity,5,"Discuss the runtime and memory efficiency of principal algorithms for sorting, searching, and hashing.",8/19/13,new,
AL,Fundamental Data Structures and Algorithms,1,Familiarity,6,"Discuss factors other than computational efficiency that influence the choice of algorithms, such as programming time, maintainability, and the use of application-specific patterns in the input data.",,,
AL,Fundamental Data Structures and Algorithms,1,Familiarity,7,Explain how tree balance affects the efficiency of various binary search tree operations.,,,
AL,Fundamental Data Structures and Algorithms,1,Usage,8,"Solve problems using fundamental graph algorithms, including depth-first and breadth-first search.",,,
AL,Fundamental Data Structures and Algorithms,2,Assessment,9,"Demonstrate the ability to evaluate algorithms, to select from a range of possible options, to provide justification for that selection, and to implement the algorithm in a particular context.",,,
AL,Fundamental Data Structures and Algorithms,2,Familiarity,10,Describe the heap property and the use of heaps as an implementation of priority queues.,8/19/13,minor wording change.,
AL,Fundamental Data Structures and Algorithms,2,Usage,11,"Solve problems using graph algorithms, including single-source and all-pairs shortest paths, and at least one minimum spanning tree algorithm.",,,
AL,Fundamental Data Structures and Algorithms,2,Usage,12,Trace and/or implement a string-matching algorithm.,8/19/13,minor wording change.,
,,,,,,,,
AL,Basic Automata Computability and Complexity,3,3,,,,,
AL,Basic Automata Computability and Complexity,1,Familiarity,1,Discuss the concept of finite state machines.,,,
AL,Basic Automata Computability and Complexity,1,Usage,2,Design a deterministic finite state machine to accept a specified language.,,,
AL,Basic Automata Computability and Complexity,1,Usage,3,Generate a regular expression to represent a specified language.,,,
AL,Basic Automata Computability and Complexity,1,Familiarity,4,Explain why the halting problem has no algorithmic solution.,,,
AL,Basic Automata Computability and Complexity,2,Usage,5,Design a context-free grammar to represent a specified language.,,,
AL,Basic Automata Computability and Complexity,2,Familiarity,6,Define the classes P and NP.,,,
AL,Basic Automata Computability and Complexity,2,Familiarity,7,Explain the significance of NP-completeness.,,,
,,,,,,,,
AL,Advanced Computational Complexity,0,0,,,,,
AL,Advanced Computational Complexity,3,Familiarity,1,"Define the classes P and NP (Also appears in AL/Basic Automata, Computability, and Complexity).",,,
AL,Advanced Computational Complexity,3,Familiarity,2,Define the P-space class and its relation to the EXP class.,,,
AL,Advanced Computational Complexity,3,Familiarity,3,"Explain the significance of NP-completeness (Also appears in AL/Basic Automata, Computability, and Complexity).",,,
AL,Advanced Computational Complexity,3,Familiarity,4,Provide examples of classic NP-complete problems.,,,
AL,Advanced Computational Complexity,3,Usage,5,Prove that a problem is NP-complete by reducing a classic known NP-complete problem to it.,,,
,,,,,,,,
AL,Advanced Automata Theory and Computability,0,0,,,,,
AL,Advanced Automata Theory and Computability,3,Assessment,1,"Determine a language’s place in the Chomsky hierarchy (regular, context-free, recursively enumerable).",,,
AL,Advanced Automata Theory and Computability,3,Usage,2,"Convert among equivalently powerful notations for a language, including among DFAs, NFAs, and regular expressions, and between PDAs and CFGs.",8/19/13,deleted outcome,
AL,Advanced Automata Theory and Computability,3,Familiarity,3,Explain the Church-Turing thesis and its significance.,,,
AL,Advanced Automata Theory and Computability,3,Familiarity,4,Explain Rice’s Theorem and its significance.,,,
AL,Advanced Automata Theory and Computability,3,Familiarity,5,Provide examples of uncomputable functions.,,,
AL,Advanced Automata Theory and Computability,3,Usage,6,Prove that a problem is uncomputable by reducing a classic known uncomputable problem to it.,,,
,,,,,,,,
AL,Advanced Data Structures Algorithms and Analysis,0,0,,,,,
AL,Advanced Data Structures Algorithms and Analysis,3,Assessment,1,"Understand the mapping of real-world problems to algorithmic solutions (eg, as graph problems, linear programs, etc).",8/19/13,Changed level,
AL,Advanced Data Structures Algorithms and Analysis,3,Assessment,2,"Select and apply advanced algorithmic techniques (eg, randomization, approximation) to solve real problems.",8/19/13,Changed level,
AL,Advanced Data Structures Algorithms and Analysis,3,Assessment,3,"Select and apply advanced analysis techniques (eg, amortized, probabilistic, etc) to algorithms.",8/19/13,Changed level,
,,,,,,,,
AR,Digital logic and digital systems,0,3,,,,,
AR,Digital logic and digital systems,2,Familiarity,1,"Describe the progression of computer technology components from vacuum tubes to VLSI, from mainframe computer architectures to the organization of warehouse-scale computers.",,,
AR,Digital logic and digital systems,2,Familiarity,2,Comprehend the trend of modern computer architectures towards multi-core and that parallelism is inherent in all hardware systems.,,,
AR,Digital logic and digital systems,2,Familiarity,3,Explain the implications of the “power wall” in terms of further processor performance improvements and the drive towards harnessing parallelism.,,,
AR,Digital logic and digital systems,2,Familiarity,4,"Articulate that there are many equivalent representations of computer functionality, including logical expressions and gates, and be able to use mathematical expressions to describe the functions of simple combinational and sequential circuits.",,,
AR,Digital logic and digital systems,2,Usage,5,"Design the basic building blocks of a computer: arithmetic-logic unit (gate-level), registers (gate-level), central processing unit (register transfer-level), memory (register transfer-level).",,,
AR,Digital logic and digital systems,2,Usage,6,"Use CAD tools for capture, synthesis, and simulation to evaluate simple building blocks (eg, arithmetic-logic unit, registers, movement between registers) of a simple computer design.",,,
AR,Digital logic and digital systems,2,Assessment,7,Evaluate the functional and timing diagram behavior of a simple processor implemented at the logic circuit level.,,,
,,,,,,,,
AR,Machine level representation of data,0,3,,,,,
AR,Machine level representation of data,2,Familiarity,1,"Explain why everything is data, including instructions, in computers.",,,
